scenario_id,metadata_shift_type,audit_shift_type,shift_type_match,metadata_difficulty,audit_difficulty,difficulty_match,audit_signals_shift_type,audit_difficulty_score,audit_difficulty_breakdown,audit_target_context_inferred,metadata_target_context,metadata_referent_complexity,llm_shift_type,llm_difficulty,llm_rationale
sc-01,object_in_hand,object_in_hand,True,easy,easy,True,"[""rule_4_object_in_hand: T1 hand cue 'hand loosely', T2 hand cue 'hand wrapped'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,current,single_referent,,,
sc-02,object_in_hand,object_in_hand,True,medium,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'hand holding'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,current,single_referent,,,
sc-03,object_in_hand,object_in_hand,True,easy,easy,True,"[""rule_4_object_in_hand: T1 hand cue 'hand gripping', T2 hand cue 'right hand'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,current,single_referent,,,
sc-04,object_in_hand,absent_referent,False,medium,hard,False,"[""rule_3_absent_referent: T2 user cue 'the one before'""]",4,"{""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1}",prior,prior,single_referent,,,
sc-05,object_in_hand,object_in_hand,True,hard,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'hand holding', T2 hand cue 'right hand'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,current,distractor_present,,,
sc-06,object_in_hand,location,False,easy,easy,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.11""]",0,{},current,current,single_referent,,,
sc-07,object_in_hand,object_in_hand,True,medium,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'hand wrapped', T2 hand cue 'hands holding'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,current,single_referent,,,
sc-08,object_in_hand,object_in_hand,True,hard,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'hand gripping'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,current,distractor_present,,,
sc-09,object_in_hand,object_in_hand,True,hard,medium,False,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'right hand'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-10,object_in_hand,location,False,medium,easy,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.20""]",0,{},current,current,single_referent,,,
