scenario_id,batch,change_type,target_context,referent_complexity,activity_domain,difficulty_tier,time_gap_bucket,is_cross_session_reference,has_deictic_repair,current_answers_count,prior_answers_count,clarify_indicators_count,abstain_indicators_count,t1_user,t2_user,pair_id,grade_token_leakage,grade_object_names_in_images,grade_three_category_gold,grade_genuine_ambiguity,grade_genuinely_missing_info,grade_scene_plausibility,grade_deictic_naturalness,grade_distinctness,grade_domain_coverage_note
sc-01,0,object_in_hand,current,single_referent,kitchen,easy,seconds,False,True,9,7,0,0,Should I keep moving this around or let it sit?,Is my grip okay for this?,,,,,,,,,,
sc-02,0,object_in_hand,current,single_referent,electronics,medium,seconds,False,True,8,7,0,0,Am I touching the right spot here?,What temperature should this be at?,,,,,,,,,,
sc-03,0,object_in_hand,current,single_referent,garden,easy,seconds,False,True,9,7,0,0,How deep should I be going with this?,Where exactly do I cut?,,,,,,,,,,
sc-04,0,object_in_hand,prior,single_referent,art_craft,medium,seconds,False,False,8,9,0,0,How much pressure should I be putting through this?,What was I doing right with the one before?,,,,,,,,,,
sc-05,0,object_in_hand,current,distractor_present,workshop,hard,seconds,False,True,9,7,0,0,Is this lined up right?,What does this tell me?,,,,,,,,,,
sc-06,0,object_in_hand,current,single_referent,kitchen,easy,seconds,False,True,8,9,0,0,How long until this is ready?,Am I pushing too hard?,,,,,,,,,,
sc-07,0,object_in_hand,current,single_referent,sports,medium,minutes,False,True,9,8,0,0,Should I follow through more?,What's a good pace for this?,,,,,,,,,,
sc-08,0,object_in_hand,current,distractor_present,automotive,hard,minutes,False,True,10,8,0,0,Is this where it should be?,How tight do I need to go?,,,,,,,,,,
sc-09,0,object_in_hand,clarify,multi_referent,music,hard,seconds,False,False,0,8,10,0,Am I angling this right?,Is this the right one for what I'm doing?,,,,,,,,,,
sc-10,0,object_in_hand,current,single_referent,household,medium,seconds,False,True,9,7,0,0,Am I doing this in the right order?,How wet should this be?,,,,,,,,,,
sc-11,0,object_in_hand,current,single_referent,art_craft,easy,seconds,False,True,9,7,0,0,Should I press harder for these lines?,How do I use this without messing up the page?,,,,,,,,,,
sc-12,0,object_in_hand,prior,single_referent,garden,medium,minutes,False,False,8,9,0,0,Am I giving these enough?,What was the right amount with the one I had earlier?,,,,,,,,,,
sc-13,0,object_state,current,single_referent,kitchen,easy,minutes,False,True,9,8,0,0,How long should this take?,Can I add the noodles yet?,,,,,,,,,,
sc-14,0,object_state,current,single_referent,garden,medium,next_day,False,True,10,8,0,0,Did I plant these too deep?,Should I move the lamp?,,,,,,,,,,
sc-15,0,object_state,current,single_referent,art_craft,medium,hours,False,True,9,8,0,0,Did I lay it on too thick?,Can I do another pass?,,,,,,,,,,
sc-16,0,object_state,prior,single_referent,workshop,medium,minutes,False,False,9,11,0,0,Where do I start with this?,What grit was I starting from again?,,,,,,,,,,
sc-17,0,object_state,current,single_referent,household,easy,minutes,False,True,9,8,0,0,Should I trim this first?,Is it good to leave for now?,,,,,,,,,,
sc-18,0,object_state,current,distractor_present,automotive,hard,hours,False,True,12,9,0,0,What pressure should I be running?,What do I do here?,,,,,,,,,,
sc-19,0,object_state,prior,single_referent,kitchen,medium,hours,False,False,8,10,0,0,How long does it usually need?,What was the original size on this when I started?,,,,,,,,,,
sc-20,0,object_state,current,single_referent,art_craft,hard,hours,False,True,9,10,0,0,Am I ready to start pulling this?,Time to bring out the trimming tool?,,,,,,,,,,
sc-21,0,sequential_task,current,single_referent,workshop,easy,minutes,False,True,13,9,0,0,Should I keep going over this same area?,Am I doing this evenly enough?,,,,,,,,,,
sc-22,0,sequential_task,current,single_referent,kitchen,easy,minutes,False,True,15,10,0,0,Are these uniform enough?,Am I keeping it moving enough?,,,,,,,,,,
sc-23,0,sequential_task,current,single_referent,garden,medium,minutes,False,True,12,9,0,0,Is this deep enough?,Am I positioning this right?,,,,,,,,,,
sc-24,0,sequential_task,prior,single_referent,art_craft,medium,minutes,False,False,11,12,0,0,Does this look balanced so far?,Was what I had laid down underneath actually balanced befor…,,,,,,,,,,
sc-25,0,sequential_task,current,distractor_present,automotive,hard,minutes,False,True,11,10,0,0,Am I pulling this the right way?,Am I getting this in the right spot?,,,,,,,,,,
sc-26,0,sequential_task,current,single_referent,fitness,hard,minutes,False,True,12,10,0,0,Am I holding this long enough?,Does this look like the right position?,,,,,,,,,,
sc-27,0,location,current,single_referent,household,easy,minutes,False,True,9,7,0,0,Should I open the window in here for a bit?,Should I open the window in here for a bit?,,,,,,,,,,
sc-28,0,location,current,single_referent,garden,easy,minutes,False,True,9,8,0,0,Is it a good time to be doing this?,Is it a good time to be doing this?,,,,,,,,,,
sc-29,0,location,current,single_referent,kitchen,medium,minutes,False,True,9,8,0,0,Where should I set things up?,Where should I set things up?,,,,,,,,,,
sc-30,0,location,current,distractor_present,automotive,medium,minutes,False,True,9,8,0,0,Is the lighting alright for what I need to check?,Is the lighting alright for what I need to check?,,,,,,,,,,
sc-31,0,location,prior,single_referent,fitness,medium,minutes,False,False,8,10,0,0,Is my heart rate where it should be for this?,What was it doing earlier when I was working out?,,,,,,,,,,
sc-32,0,location,clarify,multi_referent,workshop,hard,minutes,False,False,8,8,8,0,Is it level here?,Is it level here?,,,,,,,,,,
sc-33,0,object_in_view,current,single_referent,kitchen,easy,seconds,False,True,9,8,0,0,Is this ripe enough yet?,Is this ripe enough yet?,,,,,,,,,,
sc-34,0,object_in_view,current,multi_referent,workshop,medium,seconds,False,True,9,9,0,0,What should I be using here for this stage?,What should I be using here for this stage?,,,,,,,,,,
sc-35,0,object_in_view,current,single_referent,garden,medium,seconds,False,True,9,9,0,0,When should I pull this?,When should I pull this?,,,,,,,,,,
sc-36,0,object_in_view,current,distractor_present,automotive,hard,seconds,False,True,8,8,0,0,What level should this be at?,What level should this be at?,,,,,,,,,,
sc-37,0,object_in_view,prior,multi_referent,office,hard,minutes,False,False,8,9,0,0,About how long before this is safe to drink?,And the one I asked you about a couple of minutes ago — is…,,,,,,,,,,
sc-38,0,absent_referent,prior,referent_offscreen,garden,medium,minutes,False,False,8,11,0,0,Cute. Is that a regular for this season?,"What was the one from a minute ago, do you think?",,,,,,,,,,
sc-39,0,absent_referent,abstain,referent_offscreen,kitchen,hard,seconds,False,False,0,9,0,8,Should I just toss this or is it still okay?,"Wait, what did the printing on the side actually say?",,,,,,,,,,
sc-40,0,absent_referent,current,referent_offscreen,workshop,easy,seconds,False,False,12,7,0,0,That one looks done. What about this other thing over here?,How would you get this out?,,,,,,,,,,
sc-41,0,absent_referent,clarify,referent_offscreen,fitness,medium,minutes,False,False,0,11,8,0,Quick circuit. Anything I should watch for?,Did I get the form right on that one?,,,,,,,,,,
sc-42,0,absent_referent,abstain,referent_offscreen,art_craft,hard,minutes,False,False,0,10,0,8,First time trying this pattern. Looks alright?,"Was the gauge actually on target, do you think?",,,,,,,,,,
sc-43,0,screen_content,current,single_referent,communication,easy,seconds,False,True,12,10,0,0,How should I respond to this?,How should I respond to this?,,,,,,,,,,
sc-44,0,screen_content,current,single_referent,finance,easy,seconds,False,True,12,11,0,0,Anything I should be worried about here?,Anything I should be worried about here?,,,,,,,,,,
sc-45,0,screen_content,current,distractor_present,office,hard,minutes,False,True,13,11,0,0,Is there too much going on for one minute?,Is there too much going on for one minute?,,,,,,,,,,
sc-46,0,screen_content,prior,single_referent,navigation,medium,minutes,False,False,10,13,0,0,Will this get me there on time?,Was the answer to my earlier question yes or no?,,,,,,,,,,
sc-47,0,cross_session_reference,prior,referent_offscreen,kitchen,easy,minutes,True,False,7,11,0,0,What should I grab first to make breakfast?,"Hey, what was that note I noticed before I opened the fridg…",,,,,,,,,,
sc-48,0,cross_session_reference,prior,referent_offscreen,workshop,medium,minutes,True,False,7,11,0,0,Am I lined up straight enough to start cutting?,"Before I started any of this, there was a tool missing from…",,,,,,,,,,
sc-49,0,cross_session_reference,prior,referent_offscreen,garden,hard,minutes,True,False,7,13,0,0,Am I giving these enough water for this time of day?,"When I first walked up to the bed, I spotted something on o…",,,,,,,,,,
sc-50,0,cross_session_reference,current,distractor_present,fitness,hard,minutes,True,False,12,12,0,0,Is my depth okay here?,How's my form right now?,,,,,,,,,,
adv-01,0,object_in_hand,current,distractor_present,art_craft,hard,,False,True,8,8,0,0,What's a good consistency for this?,Is this the right size for what I'm doing?,,,,,,,,,,
adv-02,0,object_in_hand,current,distractor_present,kitchen,hard,,False,True,8,8,0,0,How long should this go?,How long for this?,,,,,,,,,,
adv-03,0,object_in_view,current,distractor_present,workshop,hard,,False,True,7,7,0,0,Will this drive the hinge?,Will this drive the hinge?,,,,,,,,,,
adv-04,0,object_state,current,single_referent,kitchen,hard,,False,True,7,7,0,0,Should I add the salt yet?,Should I add the salt yet?,,,,,,,,,,
adv-05,0,sequential_task,current,distractor_present,garden,hard,,False,True,7,7,0,0,How deep does this need to go?,How deep does this need to go?,,,,,,,,,,
adv-06,0,object_in_hand,current,distractor_present,electronics,medium,,False,True,7,7,0,0,What port does this go in?,What port does this go in?,,,,,,,,,,
adv-07,0,object_in_view,current,distractor_present,fitness,medium,,False,True,7,7,0,0,What weight should I aim for?,What weight should I aim for?,,,,,,,,,,
adv-08,0,object_in_hand,current,distractor_present,garden,medium,,False,True,7,7,0,0,When can I start harvesting?,When can I start harvesting?,,,,,,,,,,
adv-09,0,sequential_task,current,distractor_present,automotive,hard,,False,True,7,7,0,0,Which way does this turn?,Which way does this turn?,,,,,,,,,,
adv-10,0,object_state,current,single_referent,art_craft,hard,,False,True,7,7,0,0,Can I do another pass on this?,Can I do another pass on this?,,,,,,,,,,
adv-11,0,location,current,single_referent,kitchen,medium,,False,True,7,7,0,0,Where should I store this?,Where should I store this?,,,,,,,,,,
adv-12,0,object_in_view,current,distractor_present,kitchen,medium,,False,True,7,7,0,0,How much do I need?,How much do I need?,,,,,,,,,,
adv-13,0,screen_content,current,distractor_present,communication,medium,,False,True,7,7,0,0,How should I respond?,How should I respond?,,,,,,,,,,
adv-14,0,object_in_hand,prior,distractor_present,workshop,hard,,False,False,7,7,0,0,Am I lining this up right?,How big was the dent it left?,,,,,,,,,,
adv-15,0,location,prior,single_referent,household,medium,,False,False,7,7,0,0,How long should that simmer?,Did I leave the burner on?,,,,,,,,,,
